Brazil-eight-quarter-semi-final-win,0.33203
Brazil-eight-quarter-semi-final-end,0.13513
Brazil-eight-quarter-semi-end,0.16069
Brazil-eight-quarter-end,0.15256
Brazil-eight-end,0.17808
Brazil-end,0.04151
Spain-eight-quarter-semi-final-win,0.16378
Spain-eight-quarter-semi-final-end,0.14458
Spain-eight-quarter-semi-end,0.22416
Spain-eight-quarter-end,0.26063
Spain-eight-end,0.11198
Spain-end,0.09487
Germany-eight-quarter-semi-final-win,0.15182
Germany-eight-quarter-semi-final-end,0.14199
Germany-eight-quarter-semi-end,0.19049
Germany-eight-quarter-end,0.16259
Germany-eight-end,0.25719
Germany-end,0.09592
France-eight-quarter-semi-final-win,0.107
France-eight-quarter-semi-final-end,0.10837
France-eight-quarter-semi-end,0.23171
France-eight-quarter-end,0.22812
France-eight-end,0.23764
France-end,0.08716
Argentina-eight-quarter-semi-final-win,0.089
Argentina-eight-quarter-semi-final-end,0.11075
Argentina-eight-quarter-semi-end,0.17803
Argentina-eight-quarter-end,0.28466
Argentina-eight-end,0.25149
Argentina-end,0.08607
England-eight-quarter-semi-final-win,0.04849
England-eight-quarter-semi-final-end,0.07524
England-eight-quarter-semi-end,0.13198
England-eight-quarter-end,0.37906
England-eight-end,0.26812
England-end,0.09711
Belgium-eight-quarter-semi-final-win,0.03413
Belgium-eight-quarter-semi-final-end,0.06475
Belgium-eight-quarter-semi-end,0.13464
Belgium-eight-quarter-end,0.37208
Belgium-eight-end,0.28206
Belgium-end,0.11234
Portugal-eight-quarter-semi-final-win,0.03135
Portugal-eight-quarter-semi-final-end,0.06576
Portugal-eight-quarter-semi-end,0.16866
Portugal-eight-quarter-end,0.32382
Portugal-eight-end,0.19
Portugal-end,0.22041
Colombia-eight-quarter-semi-final-win,0.01134
Colombia-eight-quarter-semi-final-end,0.03103
Colombia-eight-quarter-semi-end,0.08715
Colombia-eight-quarter-end,0.24941
Colombia-eight-end,0.44305
Colombia-end,0.17802
Uruguay-eight-quarter-semi-final-win,0.00955
Uruguay-eight-quarter-semi-final-end,0.02756
Uruguay-eight-quarter-semi-end,0.09478
Uruguay-eight-quarter-end,0.20987
Uruguay-eight-end,0.55303
Uruguay-end,0.10521
Peru-eight-quarter-semi-final-win,0.00539
Peru-eight-quarter-semi-final-end,0.01937
Peru-eight-quarter-semi-end,0.05945
Peru-eight-quarter-end,0.14501
Peru-eight-end,0.35398
Peru-end,0.4168
Poland-eight-quarter-semi-final-win,0.00396
Poland-eight-quarter-semi-final-end,0.01477
Poland-eight-quarter-semi-end,0.05025
Poland-eight-quarter-end,0.18659
Poland-eight-end,0.4439
Poland-end,0.30053
Switzerland-eight-quarter-semi-final-win,0.00267
Switzerland-eight-quarter-semi-final-end,0.01246
Switzerland-eight-quarter-semi-end,0.05129
Switzerland-eight-quarter-end,0.11807
Switzerland-eight-end,0.40112
Switzerland-end,0.41439
Mexico-eight-quarter-semi-final-win,0.00252
Mexico-eight-quarter-semi-final-end,0.01066
Mexico-eight-quarter-semi-end,0.04056
Mexico-eight-quarter-end,0.09402
Mexico-eight-end,0.34876
Mexico-end,0.50348
Croatia-eight-quarter-semi-final-win,0.00242
Croatia-eight-quarter-semi-final-end,0.01081
Croatia-eight-quarter-semi-end,0.04293
